Bike Model,Category,Sub-Category,Part Number,Description,Price,Stock
ACCESS,Body & Frame,Frame & Stand,42100-33G70-000,STAND CENTER (UZ125(Access)) A-2-5,,0
ACCESS,Body & Frame,Seat & Mudguard,3953,ACCESS BACKREST SEAT,,3
ACCESS,Braking & Suspension,Wheels & Tires,,ACCESS TUBE SET FOOTRESH,,0
ACCESS,Others,General,,ACCESS-125 BUMPER BLACK COLOR,,0
ACCESS,Others,General,68645-33GG0-A12,"EMBLEM, ACCESS125",,0
ACCESS,Others,General,68645-33GG0-A11,"EMBLEM,ACCESS125",,0
ACCESS,Others,General,68645-33GG0-A64,"EMBLEM,ACCESS125",,0
ACCESS,Others,General,68645-33GG0-A65,"EMBLEM,ACCESS125",,0
ACCESS,Others,General,68645-33GG0-A6Z,"EMBLEM,ACCESS125",,0
ACCESS,Transmission,Chain & Sprocket,21650-08K10-000,ROLLER COMP_MOVABLE DRIVE  PM 2019_NOV_ACCESS 125_FI(S.D,,6
